pair1,pair2,study,species
W126,W127,Hebblewhite,Canis lupus
150681,164820,Gustavo,Cerdocyon thous
Ann_2,Niklas,Walton,Vulpes vulpes
BBJO,VJOO,Bertreaux,Vulpes lagopus
PEC089,PEC093,Wheeldon,Canis latrans
Cristina_1,Kenneth,Walton,Vulpes vulpes
Ratel,West,Serieys,Caracal caracal
BORR,OBOB,Bertreaux,Vulpes lagopus
BORR,BVOB,Bertreaux,Vulpes lagopus
PEC068,PEC079,Wheeldon,Canis latrans
Bobcat_B27M,Bobcat_B30F,Serieys,AromasHills
Oskar_1,Spank,Walton,Vulpes vulpes
Bea,Oli,Roshier,Vulpes vulpes
id15,mel,Gustavo,Cerdocyon thous
26M,7F,Wilmers,Puma concolor
PEC068,PEC082,Wheeldon,Canis latrans
PEC093,PEC094,Wheeldon,Canis latrans
K022,K029,Hebblewhite,Canis lupus
B09M_5609,B15M_5612,Serieys,CoyoteValley
NCF1,NCM8,Bogdan,Caracal caracal
Ada,Bea,Roshier,Vulpes vulpes
B18F_5614,B23M_5624,Serieys,CoyoteValley
PEC002,PEC019,Wheeldon,Canis latrans
Grupo005_Id017,Grupo005_Id019,Gustavo,Leopardus geoffroyi
OBOB,RMJJ,Bertreaux,Vulpes lagopus
B10F_5972,B13M_5616,Serieys,CoyoteValley
B10F_5972,B12M_5617,Serieys,CoyoteValley
Clint,Garfio,Palomares,Felis silvestris
OBBB,OJOO,Bertreaux,Vulpes lagopus
Bobcat_B28M,Bobcat_B34F,Serieys,AromasHills
150041,150102,Gustavo,Cerdocyon thous
B22M_5969,B23M_5624,Serieys,CoyoteValley
165194,1651941,Gustavo,Cerdocyon thous
Brecina,Rocky,Palomares,Felis silvestris
19F,37M,Wilmers,Puma concolor
id15,id16,Gustavo,Cerdocyon thous
Flo,Joy,Roshier,Vulpes vulpes
OBBB,RVJO,Bertreaux,Vulpes lagopus
guidon,schaller,Gustavo,Dataset1
bing,schaller,Gustavo,Dataset1
PEC004,PEC007,Wheeldon,Canis latrans
107M,81F,Wilmers,Puma concolor
Bobcat_B27M,Bobcat_B34F,Serieys,AromasHills
NCM12,NCM4,Bogdan,Caracal caracal
Bobcat_B30F,Bobcat_B31M,Serieys,AromasHills
PEC011,PEC019,Wheeldon,Canis latrans
Bob,Flo,Roshier,Vulpes vulpes
guidon,peary,Gustavo,Dataset1
Gustaf,Viktor,Walton,Vulpes vulpes
bing,peary,Gustavo,Dataset1
Baru,M1,Gustavo,Puma concolor
PEC101,PEC110,Wheeldon,Canis latrans
Col,Ted,Roshier,Dataset2
NCF2,NCM12,Bogdan,Caracal caracal
Ben,Ivy,Roshier,Dataset1
150312,150681,Gustavo,Cerdocyon thous
PEC104,PEC113,Wheeldon,Canis latrans
Ingvar_2,Niklas,Walton,Vulpes vulpes
150102,150462,Gustavo,Cerdocyon thous
PEC006,PEC009,Wheeldon,Canis latrans
Grupo005_Id003,Grupo005_Id020,Gustavo,Leopardus geoffroyi
Grupo005_Id017_2,Grupo005_Id024,Gustavo,Leopardus geoffroyi
Grupo005_Id003_2,Grupo023_Id001,Gustavo,Leopardus geoffroyi
B09M_5609,B11F_5967,Serieys,CoyoteValley
luck,per,Gustavo,Cerdocyon thous
B10F_5972,B18F_5614,Serieys,CoyoteValley
B13M_5616,B23M_5624,Serieys,CoyoteValley
PEC104,PEC116,Wheeldon,Canis latrans
id13,luck,Gustavo,Cerdocyon thous
Grupo005_Id017_2,Grupo005_Id021,Gustavo,Leopardus geoffroyi
id15,luck,Gustavo,Cerdocyon thous
Bobcat_B31M,Bobcat_B34F,Serieys,AromasHills
id11,per,Gustavo,Cerdocyon thous
Bigpaw,Ginger,Drouilly,Caracal caracal
B01M_5623,B06M_5625,Serieys,CoyoteValley
Ern,Joy,Roshier,Vulpes vulpes
BORR,ORRR,Bertreaux,Vulpes lagopus
11F,19F,Wilmers,Puma concolor
PEC008,PEC009,Wheeldon,Canis latrans
Grupo005_Id003,Grupo023_Id001,Gustavo,Leopardus geoffroyi
PEC106,PEC129,Wheeldon,Canis latrans
NCF1,NCM10,Bogdan,Caracal caracal
Brecina,Degana,Palomares,Felis silvestris
OJBJ,RVJO,Bertreaux,Vulpes lagopus
PEC047,PEC049,Wheeldon,Canis latrans
Clint,Pepe,Palomares,Felis silvestris
PEC019,PEC023,Wheeldon,Canis latrans
PEC074,PEC080,Wheeldon,Canis latrans
Kev,Ros,Roshier,Vulpes vulpes
BOBB,RMJJ,Bertreaux,Vulpes lagopus
B15M_5612,B18F_5614,Serieys,CoyoteValley
NCF3,NCM9,Bogdan,Caracal caracal
RMJJ,VORB,Bertreaux,Vulpes lagopus
Kim,Moe,Roshier,Vulpes vulpes
B15M_5612,B22M_5969,Serieys,CoyoteValley
id16,per,Gustavo,Cerdocyon thous
PEC107,PEC114,Wheeldon,Canis latrans
B05F_5628/5620,B07M_5627,Serieys,CoyoteValley
150041,150402,Gustavo,Cerdocyon thous
B04M_5619,B06M_5625,Serieys,CoyoteValley
id13,id16,Gustavo,Cerdocyon thous
79M,80F,Wilmers,Puma concolor
bing,derek,Gustavo,Dataset1
derek,guidon,Gustavo,Dataset1
beverly,bing,Gustavo,Dataset1
PEC079,PEC080,Wheeldon,Canis latrans
beverly,guidon,Gustavo,Dataset1
PEC080,PEC082,Wheeldon,Canis latrans
PEC007,PEC014,Wheeldon,Canis latrans
165164,165224,Gustavo,Cerdocyon thous
B12M_5617,B16M_5973,Serieys,CoyoteValley
BBJO,RVJO,Bertreaux,Vulpes lagopus
mel,per,Gustavo,Cerdocyon thous
B11F_5967,B19F_5971,Serieys,CoyoteValley
B13M_5616,B16M_5973,Serieys,CoyoteValley
Chesie,Kichaka,Wilmers,Panthera leo
JMVJ,OJOO,Bertreaux,Vulpes lagopus
Putin,Viktor,Walton,Vulpes vulpes
id13,mel,Gustavo,Cerdocyon thous
Eloise,Farasi,Wilmers,Panthera leo
PEC074,PEC088,Wheeldon,Canis latrans
barros,shack,Gustavo,Dataset1
BBJO,RMJJ,Bertreaux,Vulpes lagopus
PEC081,PEC131,Wheeldon,Canis latrans
B11F_5967,B18F_5614,Serieys,CoyoteValley
BORR,JMVJ,Bertreaux,Vulpes lagopus
JMVJ,RVJO,Bertreaux,Vulpes lagopus
Ben,Ken2017,Roshier,Dataset1
lana,per,Gustavo,Cerdocyon thous
CAN11,CAN24,Gustavo,Leopardus wiedii
164957,1651941,Gustavo,Cerdocyon thous
PEC024,PEC027,Wheeldon,Canis latrans
PEC068,PEC083,Wheeldon,Canis latrans
B11F_5967,B22M_5969,Serieys,CoyoteValley
id13,lana,Gustavo,Cerdocyon thous
B12M_5617,B20F_5968,Serieys,CoyoteValley
PEC101,PEC103,Wheeldon,Canis latrans
B13M_5616,B20F_5968,Serieys,CoyoteValley
BBJO,BORR,Bertreaux,Vulpes lagopus
Daniella,Inger,Walton,Vulpes vulpes
PEC086,PEC093,Wheeldon,Canis latrans
Charlotte,Maggie,Wilmers,Panthera leo
PEC105,PEC129,Wheeldon,Canis latrans
J016,J018,Hebblewhite,Canis lupus
id15,id17,Gustavo,Cerdocyon thous
constance,shack,Gustavo,Dataset1
PEC079,PEC088,Wheeldon,Canis latrans
B11F_5967,B17F_5621,Serieys,CoyoteValley
PEC082,PEC088,Wheeldon,Canis latrans
JBOR,OJOO,Bertreaux,Vulpes lagopus
BOBB,RVJO,Bertreaux,Vulpes lagopus
Bella,Diabla,Wilmers,Panthera leo
PEC041,PEC053,Wheeldon,Canis latrans
B15M_5612,B19F_5971,Serieys,CoyoteValley
23F,29F,Wilmers,Puma concolor
Lynx_Nebulosa,Lynx_Nevada,Extremadura,Lynx pardinus
JBOR,RVJO,Bertreaux,Vulpes lagopus
Cecia,Merimela,Wilmers,Panthera leo
B01M_5623,B03F_5622/5974,Serieys,CoyoteValley
150011,150041,Gustavo,Cerdocyon thous
150681,164900,Gustavo,Cerdocyon thous
PEC040,PEC043,Wheeldon,Canis latrans
NCF3,NCM13,Bogdan,Caracal caracal
Degana,Pepe,Palomares,Felis silvestris
Bob,Zoe,Roshier,Vulpes vulpes
PEC040,PEC042,Wheeldon,Canis latrans
PEC030,PEC037,Wheeldon,Canis latrans
REDFOX-2018-06-Wursten,REDFOX-2018-08-Wursten,Garthe,Vulpes vulpes
PEC028,PEC029,Wheeldon,Canis latrans
PEC035,PEC037,Wheeldon,Canis latrans
PEC019,PEC027,Wheeldon,Canis latrans
